size_id,category,age,units,chest,waist,abdomen,hip,height,neck_to_waist,waist_to_hip,waist_to_knee,waist_to_ankle,wingspan,back_width,back_neck,neck,neck_depth,arm_length,arm_depth,upper_arm,wrist,armhole,head_circ,crotch,leg_length,thigh,skirt_hem,rib_body,rib_neck,ease_factor,ease_arml
47,Man,,cm,86.0,71.0,0.0,89.0,173.0,42.5,21.3,60.0,100.0,130.0,38.1,15.4,34.0,9.4,45.7,19.1,26.7,15.9,42.0,58.4,63.0,85.0,43.0,3.2,6.4,2.5,3.8,3.2
48,Man,,cm,91.0,76.0,0.0,94.0,175.0,43.2,21.5,61.0,102.0,131.0,39.4,16.0,35.0,9.7,46.4,19.7,27.9,16.5,43.0,59.1,66.0,86.0,45.0,3.2,6.4,2.5,4.0,3.8
49,Man,,cm,96.0,81.0,0.0,99.0,178.0,44.5,21.9,62.0,103.0,133.0,40.6,16.6,37.0,9.9,47.0,20.3,29.2,17.1,45.0,59.7,68.0,87.0,47.0,3.5,7.0,2.5,4.1,3.8
50,Man,,cm,101.0,86.0,0.0,104.0,180.0,45.7,22.1,63.0,105.0,135.0,41.9,17.2,,10.2,47.6,21.0,30.5,17.8,,60.3,,,,3.5,7.0,2.5,4.3,3.8
51,Man,,cm,106.0,92.0,0.0,109.0,183.0,47.0,22.5,64.0,106.0,137.0,43.2,17.9,,10.4,48.3,21.6,31.8,18.4,,61.0,,,,3.5,7.0,2.5,4.4,4.4
52,Man,,cm,111.0,99.0,0.0,114.0,183.0,47.6,22.5,64.0,106.0,137.0,44.5,18.5,,10.7,48.9,22.2,33.0,19.1,,61.6,,,,3.5,7.0,2.5,4.6,4.4
53,Man,,cm,116.0,106.0,0.0,119.0,183.0,48.3,22.5,64.0,106.0,137.0,45.7,19.1,,10.9,49.5,22.9,34.3,19.7,,62.2,,,,3.8,7.6,3.2,4.7,4.4
54,Man,,cm,121.0,112.0,0.0,124.0,183.0,49.5,22.5,64.0,106.0,137.0,47.0,19.7,,11.2,50.2,23.5,35.6,20.3,,62.9,,,,3.8,7.6,3.2,4.8,5.1
55,Man,,cm,127.0,117.0,0.0,129.0,183.0,50.8,22.5,64.0,106.0,137.0,48.3,20.3,45.0,11.4,50.8,24.1,36.8,21.0,54.0,63.5,79.0,90.0,59.0,3.8,7.6,3.2,5.0,5.1
56,Man,,cm,132.0,122.0,0.0,135.0,183.0,52.1,22.5,64.0,106.0,137.0,49.5,21.0,46.0,11.7,51.4,24.6,38.1,21.6,55.0,63.5,80.0,90.0,61.0,3.8,7.6,3.2,5.1,5.1
57,Woman,,cm,76.0,58.0,0.0,84.0,158.0,40.0,19.4,55.0,91.0,118.0,30.5,13.7,30.0,7.9,41.3,17.8,24.1,13.3,39.0,54.6,64.0,75.0,44.0,3.2,6.4,2.5,3.1,2.5
58,Woman,,cm,81.0,62.0,0.0,88.0,160.0,40.6,19.7,56.0,93.0,120.0,31.1,14.3,31.0,8.4,41.9,18.3,25.1,14.0,40.0,55.2,64.0,76.0,45.0,3.2,6.4,2.5,3.2,3.2
59,Woman,,cm,86.0,66.0,0.0,92.0,161.0,41.3,19.8,56.0,93.0,121.0,32.4,15.0,33.0,8.6,42.2,18.5,26.2,14.2,40.0,55.9,67.0,77.0,47.0,3.2,6.4,2.5,3.4,3.2
60,Woman,,cm,91.0,70.0,0.0,96.0,163.0,42.5,20.0,57.0,94.0,122.0,33.7,15.6,34.0,9.1,42.5,19.1,27.3,14.6,42.0,55.9,71.0,77.0,49.0,3.2,6.4,2.5,3.5,3.8
61,Woman,,cm,96.0,75.0,0.0,100.0,164.0,43.8,20.2,57.0,95.0,123.0,34.3,16.2,36.0,9.7,43.2,19.7,28.6,15.0,44.0,56.5,74.0,78.0,52.0,3.5,7.0,2.5,3.6,3.8
62,Woman,,cm,101.0,81.0,0.0,104.0,165.0,43.9,20.3,58.0,96.0,124.0,35.6,16.8,,9.9,43.2,20.3,29.7,15.2,,56.5,,,,3.5,7.0,2.5,3.8,3.8
63,Woman,,cm,106.0,87.0,0.0,109.0,166.0,44.5,20.4,58.0,96.0,125.0,36.8,17.4,,10.2,43.2,20.8,30.5,15.5,,57.2,,,,3.5,7.0,2.5,3.9,3.8
64,Woman,,cm,111.0,93.0,0.0,114.0,168.0,45.1,20.7,59.0,97.0,126.0,38.1,18.0,,10.2,43.2,21.1,31.2,15.9,,57.2,,,,3.5,7.0,2.5,4.1,3.8
65,Woman,,cm,116.0,99.0,0.0,119.0,169.0,45.3,20.8,59.0,98.0,127.0,39.4,18.6,,10.4,43.7,21.3,32.0,16.3,,57.8,,,,3.8,7.6,3.2,4.3,4.4
66,Woman,,cm,121.0,105.0,0.0,125.0,170.0,45.7,20.9,60.0,99.0,128.0,40.6,19.2,,10.7,43.7,21.6,32.8,16.5,,57.8,,,,3.8,7.6,3.2,4.4,4.4
67,Woman,,cm,127.0,112.0,0.0,130.0,170.0,45.7,20.9,60.0,99.0,128.0,41.9,19.6,43.0,10.7,43.7,21.8,34.3,16.8,53.0,58.4,81.0,81.0,62.0,3.8,7.6,3.2,4.5,4.4
68,Woman,,cm,132.0,118.0,0.0,135.0,170.0,45.7,20.9,60.0,99.0,128.0,43.2,19.9,44.0,10.7,43.7,22.1,35.6,17.0,54.0,58.4,82.0,81.0,64.0,3.8,7.6,3.2,4.5,4.4
69,Woman,,cm,137.0,125.0,,139.0,,46.4,20.9,60.0,99.0,,44.5,20.3,45.0,10.7,43.7,22.4,36.8,17.3,55.0,58.4,83.0,81.0,66.0,,7.6,3.2,4.6,4.4
70,Woman,,cm,142.0,131.0,0.0,142.0,170.0,46.4,20.9,60.0,99.0,128.0,45.7,20.6,45.0,10.7,43.7,22.9,38.1,17.5,55.0,58.4,84.0,81.0,69.0,3.8,7.6,3.2,4.6,4.4
